refseq	symbol
NM_146473.1	Olfr1387
XR_004939749.1	Gm22589
NM_181588.4	Cmbl
XM_006520176.4	Cmbl
XM_006520177.5	Cmbl
XM_006520178.5	Cmbl
XM_030248752.2	Cmbl
XR_001779703.2	Gm46205
XR_004934577.1	Gm24418
XR_004939066.1	Gm24390
NM_001142728.1	Lrrc9
NM_001142729.1	Lrrc9
NM_030070.3	Lrrc9
XM_006516375.5	Lrrc9
XM_006516377.5	Lrrc9
XM_006516378.4	Lrrc9
XM_006516381.4	Lrrc9
XM_011244209.4	Lrrc9
XM_011244210.4	Lrrc9
XM_011244211.4	Lrrc9
XM_011244212.4	Lrrc9
XM_011244213.4	Lrrc9
XM_011244214.4	Lrrc9
XM_017315246.3	Lrrc9
XM_030246982.2	Lrrc9
XR_003950092.1	Lrrc9
NM_010515.2	Igf2r
NM_139307.3	Vasn
XR_003949679.1	Gm32915
XR_003949680.1	Gm32915
XR_003949681.1	Gm32915
XR_867459.1	Gm40093
NM_172823.2	Lmln
XM_030249110.1	Lmln
XR_384560.4	Lmln
XR_384561.4	Lmln
XR_384562.4	Lmln
XR_384563.4	Lmln
NM_001346656.1	Clstn3
NM_153508.4	Clstn3
XR_004937311.1	Gm24198
XR_001781591.1	Gm41264
XR_875021.1	Gm41264
NM_018761.3	Ctnnal1
XM_017320319.3	Ctnnal1
NM_146609.2	Olfr150
NM_145526.2	P2rx3
XM_006499210.5	P2rx3
XM_011239452.3	P2rx3
XM_030250183.2	P2rx3
XM_030250184.2	P2rx3
XM_030250185.2	P2rx3
XM_030250186.2	P2rx3
NM_029210.1	Sv2c
XM_030247440.2	Sv2c
XM_036158202.1	Sv2c
NM_001163566.1	Crb2
XR_374093.2	Crb2
XR_866013.2	Crb2
XR_866014.2	Crb2
NM_016897.3	Timm23
NM_138301.2	Trpm2
XM_006513730.3	Trpm2
XM_006513731.5	Trpm2
XM_006513732.2	Trpm2
XM_006513733.5	Trpm2
XM_011243470.4	Trpm2
XM_017313960.2	Trpm2
XM_017313962.2	Trpm2
XM_036155800.1	Trpm2
XM_036155801.1	Trpm2
XM_036155802.1	Trpm2
XM_036155803.1	Trpm2
XM_036155804.1	Trpm2
XM_036155805.1	Trpm2
XR_001779532.1	Trpm2
XR_004936196.1	Trpm2
XR_004936198.1	Trpm2
XR_871714.4	Trpm2
NM_001163627.1	Fam151b
NR_045008.1	Gm20300
NM_144549.4	Trib1
XR_872284.2	Gm39606
NM_145605.2	Klhdc4
XM_006530947.4	Klhdc4
XM_006530948.5	Klhdc4
XM_006530950.5	Klhdc4
XM_006530952.5	Klhdc4
XM_011248370.3	Klhdc4
XM_017312755.3	Klhdc4
XM_030243519.2	Klhdc4
NM_001077425.2	Cntnap5a
NM_001371013.1	Cntnap5a
XM_006529774.4	Cntnap5a
NM_024175.3	Rps23
NM_001357538.1	Abcc8
NM_011510.3	Abcc8
XM_006540749.2	Abcc8
XM_030242316.2	Abcc8
XM_036152860.1	Abcc8
XR_001785502.2	Abcc8
XR_001785505.2	Abcc8
XR_001785506.2	Abcc8
XR_001785511.2	Abcc8
XR_001785512.2	Abcc8
XR_003946427.2	Abcc8
XR_004934049.1	Abcc8
XR_882027.2	Abcc8
XR_882028.2	Abcc8
NM_009044.3	Rel
NR_015488.1	A930003A15Rik
NR_027896.1	A930003A15Rik
NM_001113468.1	Vmn2r29
NR_003555.1	Vmn2r29
NM_001024702.1	C1ql4
XM_006520975.3	C1ql4
XM_030248564.1	C1ql4
XR_004937292.1	Gm24707
NR_035500.1	Mir1983
NM_001025610.4	Ms4a7
NM_001276398.1	Ms4a7
NM_027836.6	Ms4a7
NM_134223.2	Vmn1r195
NM_001198971.1	BC049352
XM_006510474.3	BC049352
XM_006510476.3	BC049352
XM_036155099.1	BC049352
XR_001782138.2	Gm41584
XR_876835.2	Gm41584
XR_876836.2	Gm41584
XR_876837.2	Gm41584
NM_144854.2	Map3k7cl
XM_006523006.1	Map3k7cl
XM_006523007.5	Map3k7cl
NM_001164082.1	Polr3d
NM_025945.3	Polr3d
XM_006519438.1	Polr3d
NR_028265.1	Mirg
NM_001164574.1	Kbtbd3
NM_026962.3	Kbtbd3
XM_011242367.2	Kbtbd3
XM_011242368.3	Kbtbd3
XM_030244559.1	Kbtbd3
XM_036155240.1	Kbtbd3
XM_036155241.1	Kbtbd3
NM_001355114.1	Thap12
NM_028410.2	Thap12
XM_006508224.5	Thap12
XM_011241915.4	Thap12
XM_036153467.1	Thap12
NM_133892.4	Lao1
NM_025360.2	Tmed3
NM_011263.2	Rest
XM_006534842.5	Rest
XM_036164926.1	Rest
NM_009791.4	Aspm
XM_006529108.5	Aspm
XM_017312957.3	Aspm
NR_029786.1	Mir19a
NM_011221.3	Purb
NM_010983.2	Olfr2
NM_001256382.1	Rims2
NM_001256383.1	Rims2
NM_001256384.1	Rims2
NM_053271.2	Rims2
XM_006520343.5	Rims2
XM_017316370.2	Rims2
XM_017316371.2	Rims2
XM_017316372.2	Rims2
XM_017316373.2	Rims2
XM_017316374.2	Rims2
XM_017316375.2	Rims2
XM_017316376.2	Rims2
XM_017316380.2	Rims2
XM_017316384.3	Rims2
XM_017316385.3	Rims2
XM_017316387.3	Rims2
XM_017316389.3	Rims2
XM_017316397.3	Rims2
XM_017316399.3	Rims2
XM_017316400.3	Rims2
XM_017316401.3	Rims2
XM_017316403.3	Rims2
XM_017316404.3	Rims2
XM_017316405.3	Rims2
XM_017316407.3	Rims2
XM_017316409.3	Rims2
XM_017316410.3	Rims2
XM_017316412.3	Rims2
XM_030248285.1	Rims2
XM_030248286.1	Rims2
XM_030248287.1	Rims2
XM_030248292.2	Rims2
XM_030248293.2	Rims2
XM_030248294.2	Rims2
XM_030248295.2	Rims2
XM_030248296.2	Rims2
XM_030248297.2	Rims2
XM_030248298.2	Rims2
XM_030248299.2	Rims2
XM_030248300.2	Rims2
XM_030248301.2	Rims2
XM_036159079.1	Rims2
XM_036159080.1	Rims2
XM_036159081.1	Rims2
